px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_gt	py_gt	v_gt	yaw_gt	yawrate_gt	vx_gt	vy_gt	NIS_laser	NIS_radar
10.1728	1.31887	5.18231	0.202676	0.155586	10.5377	1.72555	10.1117	1.37011	5.11551	0.238478	0.252769	4.97074	1.20841	3.58681	4.9825
10.3985	1.40181	5.15125	0.224601	0.171292	10.2492	1.45907	10.3598	1.4321	5.11137	0.251116	0.258887	4.95106	1.2701	1.3952	4.9825
10.6319	1.47977	5.06266	0.244074	0.184795	10.9084	1.70343	10.6069	1.49721	5.10717	0.26406	0.264964	4.93014	1.33298	1.3952	4.22933
10.8574	1.5182	5.03192	0.244547	0.17561	10.7313	1.45265	10.853	1.56549	5.10289	0.277309	0.271	4.90794	1.39701	1.07702	4.22933
11.1226	1.5681	5.07367	0.246377	0.167389	11.4783	1.42876	11.0979	1.637	5.09855	0.290859	0.276993	4.8844	1.46213	1.07702	1.79189
11.4008	1.62112	5.1132	0.248295	0.159946	11.587	1.61462	11.3416	1.71179	5.09414	0.304708	0.282942	4.85948	1.52832	1.81523	1.79189
11.6327	1.67651	5.06581	0.25461	0.158846	11.4763	1.53917	11.584	1.78992	5.08968	0.318855	0.288846	4.83313	1.59551	1.81523	0.850797
11.8625	1.74499	5.04807	0.265285	0.161992	11.7788	1.74591	11.8251	1.87144	5.08516	0.333298	0.294705	4.80531	1.66366	0.36665	0.850797
12.1184	1.83135	5.10422	0.279382	0.167569	12.136	2.14937	12.0647	1.95639	5.08058	0.348033	0.300517	4.77598	1.73273	0.36665	1.48272
12.3602	1.86799	5.08878	0.273672	0.152257	12.3226	1.78353	12.3029	2.04482	5.07596	0.363059	0.306282	4.74508	1.80265	0.514947	1.48272
12.6156	1.9291	5.13385	0.275773	0.145213	12.5457	1.77728	12.5394	2.13677	5.07128	0.378373	0.311998	4.71257	1.87338	0.514947	0.919536
12.817	2.06015	5.09825	0.312082	0.177307	12.5924	2.17509	12.7743	2.23227	5.06656	0.393973	0.317665	4.67842	1.94485	3.58651	0.919536
13.0836	2.16432	5.1893	0.326965	0.181855	13.2198	2.6644	13.0075	2.33137	5.0618	0.409856	0.323282	4.64258	2.01701	3.58651	3.57349
13.2878	2.30405	5.15964	0.362897	0.211495	13.0875	2.40708	13.2388	2.43409	5.057	0.42602	0.328848	4.605	2.08981	2.87268	3.57349
13.4707	2.43903	5.04243	0.400011	0.244138	12.7087	3.12439	13.4682	2.54047	5.05217	0.442462	0.334362	4.56565	2.16317	2.87268	11.3147
13.7194	2.56046	5.07406	0.419148	0.251466	13.836	2.62479	13.6955	2.65053	5.0473	0.459181	0.339823	4.52448	2.23703	0.940455	11.3147
13.9401	2.66961	5.0504	0.435588	0.256588	13.8302	2.73893	13.9208	2.7643	5.0424	0.476172	0.34523	4.48147	2.31134	0.940455	0.267409
14.1688	2.82603	5.07604	0.467836	0.277536	14.2106	2.94205	14.1439	2.88179	5.03748	0.493433	0.350583	4.43656	2.38601	0.927244	0.267409
14.418	2.93528	5.14335	0.472877	0.264725	14.5568	2.87021	14.3646	3.00303	5.03253	0.510962	0.355881	4.38974	2.46099	0.927244	1.38047
14.6231	3.01633	5.0944	0.474429	0.252484	14.4616	2.90734	14.583	3.12802	5.02756	0.528756	0.361122	4.34097	2.5362	2.03266	1.38047
14.855	3.16563	5.1525	0.49649	0.260413	14.6754	3.96041	14.7989	3.25679	5.02257	0.546812	0.366307	4.29021	2.61157	2.03266	3.95836
15.0631	3.35798	5.17423	0.538805	0.291998	15.0261	3.5067	15.0122	3.38932	5.01757	0.565128	0.371433	4.23744	2.68703	1.52366	3.95836
15.2759	3.51883	5.15566	0.567236	0.309235	15.3685	4.14761	15.2228	3.52563	5.01256	0.583699	0.376501	4.18263	2.76249	1.52366	2.73052
15.4894	3.70928	5.18702	0.602387	0.33022	15.5236	3.82936	15.4306	3.66572	5.00754	0.602525	0.381509	4.12575	2.83789	0.957633	2.73052
15.7012	3.84242	5.17185	0.613464	0.324801	15.7234	3.4105	15.6355	3.80957	5.00251	0.6216	0.386458	4.06678	2.91315	0.957633	0.877608
15.9213	3.99221	5.18279	0.627637	0.322457	15.9774	4.00094	15.8375	3.95719	4.99749	0.640923	0.391345	4.00571	2.98817	0.168759	0.877608
16.1181	4.15205	5.13223	0.652395	0.336308	16.3376	4.21632	16.0363	4.10854	4.99246	0.66049	0.39617	3.94251	3.0629	0.168759	1.85244
16.3155	4.34958	5.1591	0.684737	0.352711	16.3313	4.44499	16.2319	4.26363	4.98744	0.680299	0.400933	3.87716	3.13723	0.582418	1.85244
16.5255	4.51264	5.17552	0.698812	0.348165	16.7586	4.48231	16.4242	4.42242	4.98243	0.700345	0.405632	3.80966	3.21109	0.582418	0.599254
16.7031	4.68468	5.15902	0.721456	0.353948	16.6039	4.67344	16.613	4.5849	4.97743	0.720627	0.410268	3.74	3.28438	0.523714	0.599254
16.8589	4.87157	5.05832	0.761117	0.387569	16.9236	5.10119	16.7983	4.75103	4.97244	0.74114	0.414838	3.66817	3.35704	0.523714	4.81156
17.0239	5.0981	5.08829	0.801253	0.409428	16.9955	5.21099	16.9799	4.92077	4.96747	0.761882	0.419343	3.59416	3.42897	0.875798	4.81156
17.1941	5.26689	5.05093	0.820037	0.410533	17.3421	4.64623	17.1579	5.09409	4.96252	0.782849	0.423782	3.51797	3.50008	0.875798	1.70265
17.3527	5.4522	5.03883	0.842904	0.413162	17.2894	5.43542	17.3319	5.27094	4.9576	0.804038	0.428154	3.4396	3.57028	0.223366	1.70265
17.509	5.62047	4.98548	0.86221	0.415752	17.6463	4.74597	17.5019	5.45128	4.9527	0.825446	0.432459	3.35907	3.63949	0.223366	3.22397
17.6993	5.75152	4.95105	0.856628	0.388184	17.7853	5.62476	17.6679	5.63506	4.94783	0.847069	0.436695	3.27637	3.70762	1.49524	3.22397
17.8438	5.9456	4.90811	0.886786	0.405204	17.9216	6.07151	17.8297	5.82221	4.943	0.868904	0.440862	3.19151	3.77458	1.49524	1.21344
18.0169	6.1389	4.92773	0.902365	0.400057	18.1263	6.16985	17.9872	6.01269	4.9382	0.890947	0.444959	3.10453	3.84027	0.674679	1.21344
18.1667	6.34488	4.93753	0.92631	0.404488	18.1245	6.79027	18.1402	6.20641	4.93344	0.913195	0.448987	3.01542	3.90462	0.674679	0.719965
18.2892	6.5821	4.96108	0.964353	0.423072	18.2164	6.66138	18.2888	6.40332	4.92872	0.935644	0.452943	2.92421	3.96753	0.726557	0.719965
18.4215	6.79382	4.95187	0.991321	0.431463	18.4022	7.02231	18.4328	6.60333	4.92404	0.958291	0.456828	2.83093	4.0289	0.726557	0.314903
18.5671	6.93649	4.88454	0.990651	0.408722	18.5422	6.76013	18.572	6.80638	4.91942	0.981133	0.46064	2.7356	4.08867	1.91189	0.314903
18.7154	7.14337	4.91885	1.00309	0.396195	18.8089	7.24388	18.7064	7.01237	4.91484	1.00417	0.46438	2.63825	4.14672	1.91189	0.601147
18.9086	7.28761	4.88806	0.986945	0.358819	19.1441	7.18344	18.8359	7.22122	4.91032	1.02738	0.468047	2.53893	4.20299	3.90766	0.601147
18.9985	7.48969	4.81299	1.02367	0.386526	18.5479	7.4012	18.9604	7.43283	4.90586	1.05079	0.47164	2.43767	4.25737	3.90766	4.08735
19.0913	7.74963	4.85742	1.06616	0.410415	19.0138	7.8688	19.0798	7.64712	4.90145	1.07437	0.475158	2.3345	4.3098	1.28517	4.08735
19.2117	7.95712	4.85821	1.08247	0.404919	19.3089	7.67375	19.1939	7.86397	4.89711	1.09813	0.478601	2.22949	4.36017	1.28517	0.265582
19.2915	8.17301	4.83788	1.11257	0.415277	19.132	8.12845	19.3028	8.08329	4.89283	1.12206	0.481969	2.12266	4.40842	1.44249	0.265582
19.3901	8.3841	4.84022	1.1303	0.408554	19.0239	8.17194	19.4062	8.30497	4.88863	1.14615	0.48526	2.01409	4.45445	1.44249	2.26848
19.4836	8.53512	4.74656	1.13656	0.394565	19.347	8.30741	19.5042	8.5289	4.88449	1.17042	0.488475	1.90381	4.49819	3.87313	2.26848
19.5748	8.74378	4.72181	1.15898	0.400195	19.6843	8.35902	19.5966	8.75494	4.88042	1.19484	0.491613	1.7919	4.53956	3.87313	0.573516
19.7336	8.92094	4.70599	1.14828	0.368734	20.0039	8.8906	19.6835	8.983	4.87643	1.21942	0.494673	1.67841	4.57848	4.14259	0.573516
19.8081	9.14164	4.6799	1.17925	0.387144	19.6061	9.48659	19.7645	9.21294	4.87251	1.24416	0.497655	1.56341	4.61488	4.14259	1.0056
19.9373	9.36755	4.71373	1.18655	0.374609	20.1574	9.45949	19.8398	9.44463	4.86868	1.26904	0.500558	1.44697	4.64869	2.97818	1.0056
